instance_type,time_stump,region,zone,price
r3.xlarge,2019-11-17 22:55,ap-northeast-1,ap-northeast-1c,0.071300
m3.large,2019-11-17 22:12,ap-northeast-1,ap-northeast-1c,0.031700
m5.large,2019-11-17 21:23,ap-northeast-1,ap-northeast-1c,0.035000
r5d.xlarge,2019-11-17 20:47,ap-northeast-1,ap-northeast-1c,0.073200
m5.xlarge,2019-11-17 01:19,ap-northeast-1,ap-northeast-1c,0.071500
m5.2xlarge,2019-11-17 23:04,ap-northeast-1,ap-northeast-1c,0.143600
r3.xlarge,2019-11-17 22:55,ap-northeast-1,ap-northeast-1c,0.071300
m3.large,2019-11-17 22:12,ap-northeast-1,ap-northeast-1c,0.031700
m5.large,2019-11-17 21:23,ap-northeast-1,ap-northeast-1c,0.035000
r5d.xlarge,2019-11-17 20:47,ap-northeast-1,ap-northeast-1c,0.073200
r3.xlarge,2019-11-17 17:03,ap-northeast-1,ap-northeast-1c,0.071200
m5.2xlarge,2019-11-17 09:58,ap-northeast-1,ap-northeast-1c,0.143500
r3.xlarge,2019-11-17 06:20,ap-northeast-1,ap-northeast-1c,0.071100
m5.large,2019-11-17 04:10,ap-northeast-1,ap-northeast-1c,0.035100
m5.2xlarge,2019-11-17 02:34,ap-northeast-1,ap-northeast-1c,0.143600
m5.2xlarge,2019-11-17 01:38,ap-northeast-1,ap-northeast-1c,0.143900
m5.xlarge,2019-11-17 01:19,ap-northeast-1,ap-northeast-1c,0.071500
m3.large,2019-11-16 22:12,ap-northeast-1,ap-northeast-1c,0.031700
r5d.xlarge,2019-11-16 20:47,ap-northeast-1,ap-northeast-1c,0.073200
r3.xlarge,2019-11-16 17:55,ap-northeast-1,ap-northeast-1c,0.071000
m5.xlarge,2019-11-16 05:25,ap-northeast-1,ap-northeast-1c,0.071600
m5.large,2019-11-16 04:10,ap-northeast-1,ap-northeast-1c,0.035100
m5.2xlarge,2019-11-16 01:37,ap-northeast-1,ap-northeast-1c,0.143900
m3.large,2019-11-16 22:12,ap-northeast-1,ap-northeast-1c,0.031700
r5d.xlarge,2019-11-16 20:47,ap-northeast-1,ap-northeast-1c,0.073200
r3.xlarge,2019-11-16 17:55,ap-northeast-1,ap-northeast-1c,0.071000
r3.xlarge,2019-11-16 09:10,ap-northeast-1,ap-northeast-1c,0.070900
m5.xlarge,2019-11-16 05:25,ap-northeast-1,ap-northeast-1c,0.071600
m5.large,2019-11-16 04:10,ap-northeast-1,ap-northeast-1c,0.035100
m5.2xlarge,2019-11-16 01:37,ap-northeast-1,ap-northeast-1c,0.143900
m3.large,2019-11-15 22:12,ap-northeast-1,ap-northeast-1c,0.031700
r5d.xlarge,2019-11-15 20:47,ap-northeast-1,ap-northeast-1c,0.073200
m5.2xlarge,2019-11-15 20:12,ap-northeast-1,ap-northeast-1c,0.143600
r3.xlarge,2019-11-15 09:10,ap-northeast-1,ap-northeast-1c,0.070900
m5.xlarge,2019-11-15 05:25,ap-northeast-1,ap-northeast-1c,0.071600
m5.large,2019-11-15 04:09,ap-northeast-1,ap-northeast-1c,0.035100
m3.large,2019-11-15 22:12,ap-northeast-1,ap-northeast-1c,0.031700
r5d.xlarge,2019-11-15 20:47,ap-northeast-1,ap-northeast-1c,0.073200
m5.2xlarge,2019-11-15 20:12,ap-northeast-1,ap-northeast-1c,0.143600
m5.2xlarge,2019-11-15 13:13,ap-northeast-1,ap-northeast-1c,0.143500
r3.xlarge,2019-11-15 09:10,ap-northeast-1,ap-northeast-1c,0.070900
m5.2xlarge,2019-11-15 05:50,ap-northeast-1,ap-northeast-1c,0.143900
m5.xlarge,2019-11-15 05:25,ap-northeast-1,ap-northeast-1c,0.071600
m5.large,2019-11-15 04:09,ap-northeast-1,ap-northeast-1c,0.035100
r3.xlarge,2019-11-15 03:36,ap-northeast-1,ap-northeast-1c,0.071000
m5.xlarge,2019-11-14 23:58,ap-northeast-1,ap-northeast-1c,0.071500
m5.2xlarge,2019-11-14 23:41,ap-northeast-1,ap-northeast-1c,0.143600
m5.large,2019-11-14 23:08,ap-northeast-1,ap-northeast-1c,0.035200
m3.large,2019-11-14 22:12,ap-northeast-1,ap-northeast-1c,0.031700
r5d.xlarge,2019-11-14 20:47,ap-northeast-1,ap-northeast-1c,0.073200
r3.xlarge,2019-11-14 20:12,ap-northeast-1,ap-northeast-1c,0.071200
m5.xlarge,2019-11-14 23:58,ap-northeast-1,ap-northeast-1c,0.071500
m5.2xlarge,2019-11-14 23:41,ap-northeast-1,ap-northeast-1c,0.143600
m5.large,2019-11-14 23:08,ap-northeast-1,ap-northeast-1c,0.035200
m3.large,2019-11-14 22:12,ap-northeast-1,ap-northeast-1c,0.031700
m5.xlarge,2019-11-14 22:05,ap-northeast-1,ap-northeast-1c,0.071700
r5d.xlarge,2019-11-14 20:47,ap-northeast-1,ap-northeast-1c,0.073200
r3.xlarge,2019-11-14 20:12,ap-northeast-1,ap-northeast-1c,0.071200
r3.xlarge,2019-11-14 18:07,ap-northeast-1,ap-northeast-1c,0.071100
m5.2xlarge,2019-11-14 17:14,ap-northeast-1,ap-northeast-1c,0.143300
m5.xlarge,2019-11-14 16:38,ap-northeast-1,ap-northeast-1c,0.071700
r3.xlarge,2019-11-14 14:33,ap-northeast-1,ap-northeast-1c,0.071100
m5.xlarge,2019-11-14 12:47,ap-northeast-1,ap-northeast-1c,0.071600
m5.2xlarge,2019-11-14 12:19,ap-northeast-1,ap-northeast-1c,0.143900
